Species,Family,Higher_level,Diversity,Size/Weight/Age,Length Type,Min depth,Max depth,Northernmost Lat (north is +),Southernmost Lat,Max abs lat,Min temp,Max temp,Trophic Level,distribution,habitat,burrowing,Activity,Citation,Categories,Counter
Scarus_hoefleri,Scaridae,,,60,TL male/unsexed,1,15,NA,NA,NA,NA,NA,,Eastern Atlantic:  Mauritania (Ref. 5377) to Congo.,demersal; marine,,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Scarus_hypselopterus,Scaridae,,,31,TL male/unsexed,10,30,30,-9,30,NA,NA,,"Indo-Pacific:  Moluccas in Indonesia, Philippines, Ryukyus in Japan and Palau.",reef-associated; marine; depth range ? - 30 m (Ref. 9710),,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Scarus_prasiognathos,Scaridae,,,70,TL male/unsexed,1,25,30,-13,30,NA,NA,2,"Indo-West Pacific:  Maldives to New Ireland in Papua New Guinea, including Cocos-Keeling Islands, north to Ryukyu Islands and south to the Philippines, including Palau.  This species is the terminal male of Scarus singaporensis.  Possibly replaced by Scarus falcipinnis in the western Indian Ocean (Ref. 2689).",reef-associated; marine; depth range 1 - 15 m (Ref. 30874),,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Scarus_quoyi,Scaridae,,,40,TL male/unsexed,2,18,30,-24,30,NA,NA,2,"Indo-West Pacific:  India to Vanuatu, north to the Ryukyu Islands, south to New Caledonia; Palau (Belau) in Micronesia.",reef-associated; marine; depth range 2 - 18 m (Ref. 9710),,Diurnal,Alex - the genus sleeps in mucous cocoons,,
Ophioblennius_steindachneri,Blenniidae,,,18,SL male/unsexed,0,18,30,-10,30,NA,NA,2.7,"Eastern Pacific:  Baha Sebastan Vizcaino and the northern Gulf of California (Isla Angel de la Guarda and Puerto Lobos) to Peru, including the Galapagos Islands (Ref. 5590).",reef-associated; marine; depth range 0 - 18 m (Ref. 5227),,Diurnal,Allen & Ross 1997 Clipperton,,
Johnrandallia_nigrirostris,Chaetodontidae,,,20,TL male/unsexed,6,40,40,-10,40,NA,NA,3,"Eastern Pacific:  Gulf of California to Panama, including the Cocos, Malpelo and Galapagos Islands.","reef-associated; marine; depth range 6 - 40 m (Ref. 9286), usually 6 - 12 m (Ref. 9286)",no,Diurnal,Allen & Ross 1997 Clipperton,,
Cirrhitus_rivulatus,Cirrhitidae,,,60,TL male/unsexed,5,23,30,-1,30,NA,NA,4,Eastern Central Pacific:  Gulf of California to northern Colombia and the Galapagos Islands.,reef-associated; marine; depth range 5 - 23 m (Ref. 5227),no,Diurnal,Allen & Ross 1997 Clipperton,,
Kyphosus_analogus,Kyphosidae,,,45,TL male/unsexed,1,12,NA,NA,NA,NA,NA,2,"Eastern Pacific:  normally occurs from Baja California, Mexico to Peru, but have been taken in the artificially warmed waters off the Encina Power Plant in San Diego, California, USA, far outside normal range.",benthopelagic; marine; depth range 1 - 12 m (Ref. 5227),,Diurnal,Allen & Ross 1997 Clipperton,,
Thalassoma_robertsoni,Labridae,,,7.8,SL male/unsexed,3,50,NA,NA,NA,NA,NA,3.3,Eastern Central Pacific:  Clipperton Island.,reef-associated; marine; depth range 3 - 50 m (Ref. 31087),,Diurnal,Allen & Ross 1997 Clipperton,,
Holacanthus_limbaughi,Pomacanthidae,,,25,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,,"Eastern Pacific:  known only from Clipperton Island, 2560 km due west of Costa Rica.",reef-associated; non-migratory; marine,,Diurnal,Allen & Ross 1997 Clipperton,,
Chromis_alta,Pomacentridae,,,13,SL male/unsexed,30,150,27,-1,27,NA,NA,3.4,Eastern Pacific:  Mexico and the Galapagos Islands.  One record from Cocos Island.,reef-associated; non-migratory; marine; depth range 30 - 150 m (Ref. 9334),,Diurnal,Allen & Ross 1997 Clipperton,,
Scorpaenodes_xyris,Scorpaenidae,,,15,TL male/unsexed,0,30,33,,33,NA,NA,3.7,"Eastern Pacific:  California, USA to Peru and the Galapagos Islands.",reef-associated; marine; depth range 0 - 30 m (Ref. 5227),,Nocturnal,Allen & Ross 1997 Clipperton,,
Dermatolepis_dermatolepis,Serranidae,,,100,TL male/unsexed,21,40,33,-13,33,NA,NA,4.5,"Eastern Pacific:  southern California, USA  to Peru, including Revillagigedo and Galapagos Islands, Cocos Island, Clipperton Island.",reef-associated; marine; depth range 21 - 40 m (Ref. 5222),,Diurnal,Allen & Ross 1997 Clipperton,,
Epinephelus_clippertonensis,Serranidae,,,61,TL male/unsexed,30, ? ,27,10,27,NA,NA,3.9,Eastern Central Pacific:  Clipperton Island.,demersal; marine; depth range 10 - 20 m (Ref. 46206),,Diurnal,Allen & Ross 1997 Clipperton,,
Paranthias_colonus,Serranidae,,,35.6,TL male/unsexed,10,70,33,-4,33,NA,NA,3.8,"Eastern Pacific:  Gulf of California to Peru, including the Revillagigedo, Galapagos, Clipperton, Cocos, and Malpelo islands.",reef-associated; marine; depth range 10 - 70 m (Ref. 5222),,Diurnal,Allen & Ross 1997 Clipperton,,
Gaidropsarus_mediterraneus,Lotidae,,,50,TL male/unsexed,? ,450,62,33,62,5,18,3.5,"Eastern Atlantic:  southern Norway, around the western shores of the British Isles to the southwest and south coasts of Europe, into the Black Sea, and on the northwest African coast.",demersal; oceanodromous (Ref. 51243); marine; depth range ? - 450 m,,Nocturnal,Almadaetal1996,,1
Bovichtus_variegatus,Bovichtidae,Bovichtidae,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,"Southwest Pacific:  New Zealand.  Due to a type-locality error, Bovichtus variegatus was wrongly applied to Australian specimens (Ref. 9002).",benthopelagic; marine,,Diurnal,Ayling  & Cox 1984,,
Anguilla_australis_australis,Anguillidae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southwest Pacific:  east coast of Australia and New Zealand, extending north to New Caledonia.  Museum records from Fiji and Tahiti are doubtful.  Australian and New Zealand forms sometimes recognized as subspecies.  Most easily confused with Anguilla obscura and the surest way of distinguishing them is to count the vertebrae.  Reported from Western and American Samoa (Ref. 592).",benthopelagic; catadromous; freshwater; brackish; marine; depth range 0 - ? m,,Nocturnal,Ayling & Cox 1984,,
Anguilla_dieffenbachii,Anguillidae,,,185,TL male/unsexed,NA,NA,-34,-47,47,NA,NA,4.5,Southwest Pacific:  endemic to New Zealand.,demersal; catadromous (Ref. 51243); freshwater; brackish; marine,,Nocturnal,Ayling & Cox 1984,,
Aplodactylus_arctidens,Aplodactylidae,Aplodactylidae,5,65,TL male/unsexed,0,40,NA,NA,NA,NA,NA,2,Indo-Pacific:  southern Australia and New Zealand.,"reef-associated; marine; depth range 0 - 40 m (Ref. 9002), usually 0 - 15 m (Ref. 9002)",,Diurnal,Ayling & Cox 1984,,
Aplodactylus_etheridgii,Aplodactylidae,,,45,TL male/unsexed,6,20,NA,NA,NA,NA,NA,2,"Southwest Pacific:  New Zealand and Lord Howe, Norfolk and Kermadec islands.",reef-associated; marine,,Diurnal,Ayling & Cox 1984,,
Nemadactylus_macropterus,Cheilodactylidae,,,70,TL male/unsexed,22,450,38,-45,45,NA,NA,3.4,"Indo-Pacific:  St. Paul and Amsterdam islands in the Indian Ocean, southern Australia, including Tasmania, and New Zealand.  Southwest Atlantic:  southern South America.","demersal; marine; depth range 22 - 450 m (Ref. 58489), usually 100 - 250 m (Ref. 3243)",,Deep?,Ayling & Cox 1984,"usually out at edge of shelf, also operate at night",
Chironemus_marmoratus,Chironemidae,,,40,SL male/unsexed,0,30,-29,-47,47,NA,NA,3.7,Southwest Pacific:  Australia and New Zealand.,reef-associated; marine; depth range 0 - 30 m (Ref. 9003),,Diurnal,Ayling & Cox 1984,,
Emmelichthys_nitidus_nitidus,Emmelichthyidae,Emmelichthyidae,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indo-Pacific:  off western Cape coast in south Africa, Australia, New Zealand, St. Paul and Amsterdam islands.  Emmelichthys nitidus cyanescens is found in the eastern Pacific.",bathydemersal; marine; depth range 86 - 500 m (Ref. 58489),,Deep ,Ayling & Cox 1984,,
Atypichthys_latus,Kyphosidae,Kyphosidae,54,30,SL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.5,"Southwest Pacific:  New Zealand and Kermadec, Norfolk and Lord Howe islands.",benthopelagic; marine,,Diurnal,Ayling & Cox 1984,,
Coris_picta,Labridae,,,25,TL male/unsexed,NA,NA,35,-37,37,20,26,3.4,"Western Pacific:  Australia (southern Queensland to northern Victoria, Lord Howe Island), Norfolk Island, Kermadec Islands, and New Zealand.  Coris musume, which was formerly considered as a synonym or subspecies, occurs in Japan (from Tokyo to Nagasaski), Ogasawara and Taiwan.","reef-associated; marine, usually 3 - 25 m (Ref. 27115)",,Diurnal,Ayling & Cox 1984,,
Macruronus_novaezelandiae,Merlucciidae,,,120,TL male/unsexed,0,1000,-15,-55,55,NA,NA,4.5,Southwest Pacific:  New Zealand and southern Australia.,"benthopelagic; oceanodromous; brackish; marine; depth range 0 - 1000 m (Ref. 26566), usually 200 - 700 m (Ref. 9563)",,Deep,Ayling & Cox 1984,,
Merluccius_australis,Merlucciidae,,,155,SL male/unsexed,28,1000,-33,-59,59,NA,NA,4.5,"Circumglobal in the southern hemisphere (Ref. 7300).  Two distinct groups.  New Zealand population:  Chatham Rise, Campbell Plateau and South Island northward to the East Cape.  Patagonian population:  Chilo Island in the Pacific, southward around the southern tip of South America to the continental shelf to 59S, and the slope north to 38S in the Atlantic.",benthopelagic; oceanodromous (Ref. 51243); marine; depth range 28 - 1000 m (Ref. 58489),,Deep,Ayling & Cox 1984,,
Upeneichthys_lineatus,Mullidae,,,40,FL male/unsexed,5,100,NA,NA,NA,NA,NA,3.1,Southwest Pacific:  eastern Australia.,"demersal; marine; depth range 5 - 100 m (Ref. 9002), usually 5 - 40 m (Ref. 9002)",,Diurnal,Ayling & Cox 1984,,
Gymnothorax_prasinus,Muraenidae,,,91.5,TL male/unsexed,NA,NA,NA,NA,NA,NA,NA,3.6,Southwest Pacific:  New Zealand and southern Australia.,reef-associated; marine,,Nocturnal,Ayling & Cox 1984,,
Psenes_pellucidus,Nomeidae,,,80,TL male/unsexed,? ,1000,42,24,42,NA,NA,3.9,"Atlantic, Indian and Pacific.",bathypelagic; marine; depth range ? - 1000 m (Ref. 9563),,Deep,Ayling & Cox 1984,,
Odax_cyanoallix,Odacidae,,,27,SL male/unsexed,16,16,-33,-35,35,NA,NA,2.7,"Southwest Pacific:  apparently confined to the Three Kings Islands, at the northern tip of New Zealand.",demersal; marine; depth range 16 - 16 m (Ref. 58018),,Diurnal ,Ayling & Cox 1984,,
Odax_pullus,Odacidae,,,40,SL male/unsexed,NA,NA,-35,-47,47,NA,NA,2.1,Southwest Pacific:  New Zealand and probably Australia.,demersal; marine,,Diurnal ,Ayling & Cox 1984,,
Genypterus_blacodes,Ophidiidae,,,200,SL male/unsexed,22,1000,-17,-57,57,NA,NA,4.2,Southwest Pacific:  southern Australia and around New Zealand.  Southeast Pacific:  Chile (Ref. 9068).  Southwest Atlantic:  Brazil (Ref. 4517).,"bathydemersal; oceanodromous (Ref. 51243); marine; depth range 22 - 1000 m (Ref. 58489), usually 300 - 550 m (Ref. 6390)",,Deep,Ayling & Cox 1984,,
Epinephelus_daemelii,Serranidae,,,200,TL male/unsexed,? ,50,-25,-43,43,NA,NA,4,"Southwest Pacific:  Australia, Lord Howe Island, Norfolk Island, Kermadec Islands and New Zealand (North Island and Poor Knights Island).  The Australian range extends from southern Queensland to Kangaroo Island off South Australia; also reported from the Bass Strait.",reef-associated; marine; depth range ? - 50 m (Ref. 5222),,Crepuscular,Ayling & Cox 1984,,
Sphoeroides_pachygaster,Tetraodontidae,,,40.5,SL male/unsexed,50,480,61,-51,61,NA,NA,4.2,Circumglobal in tropical and temperate seas.,"benthopelagic; marine; depth range 50 - 480 m (Ref. 33352), usually 50 - 250 m (Ref. 10985)",,Deep,Ayling & Cox 1984,,
Kathetostoma_giganteum,Uranoscopidae,,,90,TL male/unsexed,30,600,-34,-52,52,NA,NA,4.7,Southwest Pacific:  endemic to New Zealand.,demersal; marine; depth range 30 - 600 m (Ref. 58489),,Deep,Ayling & Cox 1984,,
Boops_boops,Sparidae,,,36,TL male/unsexed,0,350,63,-16,63,NA,NA,2.8,"Eastern Atlantic:  Norway to Angola, including the Canary Islands, Cape Verde, and the Sao Tome-Principe Islands.  Common from Bay of Biscay to Gibraltar (Ref. 4781).  Also found in the Mediterranean and the Black Sea.","demersal; oceanodromous (Ref. 51243); marine; depth range 0 - 350 m (Ref. 26999), usually 0 - 100 m (Ref. 26999)",,Nocturnal,Azurroetal,,1
Coryphopterus_dicrus,Gobiidae,,,5,TL male/unsexed,3,20,NA,NA,NA,NA,NA,2.7,Western Atlantic:  southern Florida in USA and Bahamas to southeastern Brazil (Ref. 51894).,reef-associated; marine; depth range 3 - 20 m (Ref. 9710),,Diurnal,"best guess(from Captive Seawater Fishes: Science and Technology 1991, Spotte)",,1
Coryphopterus_personatus,Gobiidae,,,4,TL male/unsexed,3,46,32,,32,NA,NA,2.7,"Western Central Atlantic:  Florida (USA), Bermuda, and Bahamas to northern South America, including the Lesser Antilles (Ref. 7251).  Also Antilles (Ref. 26938).","reef-associated; marine; depth range 3 - 46 m (Ref. 13442), usually 3 - 46 m (Ref. 13442)",,Diurnal,"best guess(from Captive Seawater Fishes: Science and Technology 1991, Spotte)",,1
Labrisomus_multiporosus,Labrisomidae,,,18,TL male/unsexed,0,5,NA,NA,NA,NA,NA,3.6,"Eastern Pacific:  Baha Sebastin Vizcaino and the upper Gulf of California to Peru, including the Galapagos Islands.",reef-associated; marine; depth range 0 - 5 m (Ref. 55763),,Diurnal,"best guess(from Captive Seawater Fishes: Science and Technology 1991, Spotte)",,1
Muraenesox_cinereus,Muraenesocidae,,,220,TL male/unsexed,? ,800,47,-4,47,NA,NA,4.4,"Indo-West Pacific:  Red Sea, Persian Gulf, west coast of India, and Sri Lanka to Fiji and Tuvalu (Ref. 12596), north to Japan and Korea, south to the Arafura Sea (Ref. 9819) and northern Australia.  Migrated to the Mediterranean via the Suez Canal (Ref. 6724).","demersal; oceanodromous; freshwater; brackish; marine; depth range ? - 740 m (Ref. 9942), usually ? - 300 m (Ref. 9942)",,Nocturnal,Bianchi 1985 Fishes Pakistan,,
Sphyraena_putnamae,Sphyraenidae,,,90,TL male/unsexed,3,20,NA,NA,NA,NA,NA,4.5,"Indo-West Pacific:  Red Sea and East Africa to New Caledonia and Vanuatu, north to southern Japan.  Reported from Fiji and Tuvalu (Ref. 12596).The exact range is uncertain because of confusion of this species with Sphyraena jello and Sphyraena qenie (Ref. 9768).",reef-associated; marine; depth range ? - 13 m (Ref. 58018),,Nocturnal,Bianchi 1985 Fishes Pakistan,,
Balistes_capriscus,Balistidae,Balistes,9,60,TL male/unsexed,0,100,58,-37,58,NA,NA,4.1,"Eastern Atlantic:  Mediterranean to Moamedes, Angola.  Western Atlantic:  Nova Scotia (Canada), Bermuda, and northern Gulf of Mexico to Argentina (Ref. 7251).","reef-associated; marine; depth range 0 - 100 m (Ref. 7348), usually 0 - 55 m (Ref. 55172)",no,Diurnal,Bohnsack 1987,,1
Balistes_vetula,Balistidae,,,60,TL male/unsexed,2,275,43,-35,43,NA,NA,3.8,"Eastern Atlantic:  Ascension, Cape Verde, and Azores (Ref. 7348); ranges south to southern Angola (Ref. 4420).  Western Atlantic:  Canada (Ref. 5951) to Massachusetts, USA and northern Gulf of Mexico to southeastern Brazil (Ref. 7251).","reef-associated; marine; depth range 2 - 275 m (Ref. 4727), usually 3 - 30 m (Ref. 40849)",no,Diurnal,Bohnsack 1987,,1
Strongylura_timucu,Belonidae,,,61,TL male/unsexed,1,3,NA,NA,NA,NA,NA,4.5,"Western Atlantic:  southeastern Florida (USA), Bahamas, and northeastern Gulf of Mexico to Brazil.",reef-associated; freshwater; brackish; marine; depth range 1 - 3 m (Ref. 58047),no,Diurnal,Bohnsack 1987,,1
Scartella_cristata,Blenniidae,,,12,TL male/unsexed,0,10,NA,NA,NA,NA,NA,2.5,"Western Atlantic:  Bermuda, Florida (USA), and northern Gulf of Mexico to Brazil.  Eastern Atlantic:  Mauritania and the Canary Islands to about Mwe Bay, Namibia.  Also known in the southern parts of Mediterranean, including the following most southern localities of the northern coast:  Torremolinos and Taramay near Motril (Spain), Sicily, Kyra Island (Gulf of Aigina) and near Palaea Epidavros, Peloponnes (Greece) (Ref. 5298).  Northwest Pacific:  Japan (Ref. 559, 9137, 35771) and Taiwan.",reef-associated; marine; depth range 0 - 10 m (Ref. 9710),,Diurnal,Bohnsack 1987,,1
Caranx_crysos,Carangidae,,,70,TL male/unsexed,0,100,46,-26,46,NA,NA,4.1,"Eastern Atlantic:  Senegal to Angola, including the western Mediterranean, St. Paul""quot;s Rocks (Ref. 13121), and Ascension Island.  Reported from Mauritania (Ref. 55783).  Western Atlantic:  Nova Scotia, Canada to Brazil (Ref. 7251), including the Gulf of Mexico (Ref. 9626) and the Caribbean.  In the tropical Eastern Pacific, it is replaced by Caranx caballus Gnther 1869, which may be conspecific.",reef-associated; marine; depth range 0 - 100 m (Ref. 4233),no,Crepuscular,Bohnsack 1987,,1
Decapterus_punctatus,Carangidae,,,30,SL male/unsexed,0,100,46,-23,46,NA,NA,4.4,"Western Atlantic:  Nova Scotia, Canada (Ref. 7251) southward through the Gulf of Mexico and the Caribbean to Rio de Janeiro, Brazil.  Eastern Atlantic:  Morocco to South Africa, including the Madeira, Canary, Cape Verde, Ascension and St. Helena islands (Ref. 7097).",reef-associated; marine; depth range 0 - 100 m (Ref. 2683),no,Dual,Bohnsack 1987,,1
Seriola_dumerili,Carangidae,,,190,TL male/unsexed,1,360,45,-28,45,NA,NA,4.5,"Circumglobal.  Indo-West Pacific:  South Africa, Persian Gulf, southern Japan and the Hawaiian Islands, south to New Caledonia; Mariana and Caroline islands in Micronesia.  Western Atlantic:  Bermuda (Ref. 26938), Nova Scotia, Canada to Brazil; also from the Gulf of Mexico and the Caribbean Sea (Ref. 9626).  Eastern Atlantic:  British coast (vagrant) to Morocco and the Mediterranean.  Distribution in eastern central Atlantic along the African coast is not well established due to past confusion with Seriola carpenteri (Ref. 7097).","reef-associated; oceanodromous (Ref. 51243); marine; depth range 1 - 360 m (Ref. 11441), usually 18 - 72 m (Ref. 9626)",no,Crepuscular,Bohnsack 1987,,1
Trachinotus_falcatus,Carangidae,,,122,FL male/unsexed,0,36,42,-25,42,NA,NA,4,"Western Atlantic:  Massachusetts, USA to southeastern Brazil, including Bahamas and many of the West Indies.","reef-associated; brackish; marine; depth range 0 - 36 m (Ref. 3277), usually 0 - 30 m (Ref. 55175)",no,Crepuscular,Bohnsack 1987,,1
Chaetodon_ocellatus,Chaetodontidae,,,20,TL male/unsexed,0,30,37,8,37,NA,NA,NA,"Western Atlantic: Florida, USA to Brazil.  Larvae are sometimes swept northward which accounts for the sighting of juvenile specimens as far north as Massachusetts, USA during summer months.  One record (one specimen, 3 cm) from Musquodoboit Harbor, Nova Scotia, Canada.",reef-associated; marine; depth range 0 - 30 m (Ref. 9626),no,Diurnal,Bohnsack 1987,,1
Chaetodon_sedentarius,Chaetodontidae,,,15,TL male/unsexed,5,92,36,-25,36,NA,NA,3.9,"Western Atlantic:  North Carolina, USA to northern South America, including the eastern Gulf of Mexico and the Caribbean Sea.","reef-associated; marine; depth range 5 - 92 m (Ref. 9710), usually 15 - 40 m (Ref. 55199)",no,Diurnal,Bohnsack 1987,,1
Amblycirrhitus_pinos,Cirrhitidae,,,9.5,SL male/unsexed,2,46,,-13,13,NA,NA,3.2,"Western Atlantic:  southern Florida and Texas (USA), Bahamas and throughout the Caribbean Sea to Rio de Janeiro, Brazil (Ref. 57756).  Eastern Atlantic:  St. Helena (?, Randall pers. comm.).",reef-associated; marine; depth range 2 - 46 m (Ref. 7510),no,Diurnal,Bohnsack 1987,,1
Jenkinsia_lamprotaenia,Clupeidae,,,7.5,TL male/unsexed,0,50,34,8,34,NA,NA,3.3,"Western Central Atlantic:  Bermuda, Florida (USA), Gulf of Mexico and Caribbean south to Tobago.  Antilles (Ref. 26938).",reef-associated; marine; depth range 0 - 50 m,,Nocturnal,Bohnsack 1987,,1
Anchoa_lyolepis,Engraulidae,,,12,TL male/unsexed,1,54,38,-27,38,NA,NA,3.4,"Western Atlantic:  New York south to Miami (rare on the Gulf coast of Florida), Bermuda, Antilles, Trinidad and south to Brazil; also Venezuela to Panama, Yucatan and to northern Gulf of Mexico.",reef-associated; marine; depth range 1 - 54 m (Ref. 9710),,Nocturnal,Bohnsack 1987,,1
Chaetodipterus_faber,Ephippidae,Ephippidae,15,91,TL male/unsexed,3,35,43,-24,43,NA,NA,4.5,"Western Atlantic:  Massachusetts, USA and northern Gulf of Mexico to Rio Grande do Sul, Brazil (Ref. 47377).",reef-associated; oceanodromous (Ref. 51243); brackish; marine; depth range 3 - 35 m (Ref. 26912),,Diurnal,Bohnsack 1987,,1
Gnatholepis_thompsoni,Gobiidae,,,8.2,TL male/unsexed,0,50,43,-2,43,NA,NA,2.3,"Western Atlantic:  Bermuda, Florida (USA), and the Bahamas to northern South America.  Eastern Atlantic:  Ascension and St. Helena (Ref. 5299); Sao Tome Island (Ref. 34088).","reef-associated; marine; depth range 0 - 50 m (Ref. 5299), usually 5 - 32 m (Ref. 5288)",,Diurnal,Bohnsack 1987,,1
Microgobius_carri,Gobiidae,,,10,SL male/unsexed,0,36,37,10,37,NA,NA,3.4,"Western Atlantic:  North Carolina, USA and eastern Gulf of Mexico to the Lesser Antilles.",reef-associated; marine; depth range 6 - 21 m (Ref. 9710),,Diurnal,Bohnsack 1987,,1
Anisotremus_surinamensis,Haemulidae,,,76,TL male/unsexed,0,20,30,-34,34,NA,NA,3.6,"Western Atlantic:  Florida, USA and the Bahamas through the Gulf of Mexico and the Caribbean Sea to Brazil.","reef-associated; marine; depth range 0 - 20 m (Ref. 9710), usually 0 - 15 m (Ref. 40849)",no,Nocturnal,Bohnsack 1987,,1
Haemulon_album,Haemulidae,,,79,TL male/unsexed,20,60,33,-33,33,NA,NA,3.3,"Western Atlantic:  Florida Keys (USA), Bermuda, and Bahamas to Brazil.  Found throughout the West Indies; absent in Colombia (Ref. 3798).",reef-associated; marine; depth range 20 - 60 m (Ref. 5217),no,Diurnal,Bohnsack 1987,,1
Halichoeres_radiatus,Labridae,,,51,TL male/unsexed,2,55,37,-13,37,23,27,3.5,"Western Atlantic:  Bermuda and North Carolina, USA to the Gulf of Mexico and oceanic islands of Brazil.  Throughout the West Indies.","reef-associated; brackish; marine; depth range 2 - 55 m (Ref. 9710), usually 5 - 45 m (Ref. 27115)",,Diurnal,Bohnsack 1987,,1
Lutjanus_analis,Lutjanidae,,,94,TL male/unsexed,25,95,36,-28,36,20,28,3.9,"Western Atlantic:  Massachusetts, USA and Bermuda (Anderson, pers. comm.) to  southeastern Brazil, including the Caribbean Sea and the Gulf of Mexico (Ref. 9626).  Most abundant around the Antilles, the Bahamas and off southern Florida.","reef-associated; brackish; marine; depth range 25 - 95 m (Ref. 9626), usually 40 - 70 m (Ref. 9626)",,Nocturnal,Bohnsack 1987,,1
Lutjanus_griseus,Lutjanidae,,,89,TL male/unsexed,5,180,41,-6,41,NA,NA,4.2,"Western Atlantic:  Massachusetts, USA and Bermuda southward to Rio de Janeiro, Brazil, including West Indies (Anderson, pers. comm.), Gulf of Mexico and Caribbean Sea (Ref. 9626).","reef-associated; amphidromous (Ref. 55); freshwater; brackish; marine; depth range 5 - 180 m (Ref. 55), usually ? - 50 m (Ref. 9626)",,Nocturnal,Bohnsack 1987,,1
